timeStamp,elapsed,label,responseCode,responseMessage,dataType,success,Latency
1439450020631,21006,Manual CPI- Whole CPI Show,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to https://q.www.instant.ly refused,text,false,0
1439450962083,3097,Vindale Load member surveys,200,OK,text,true,3097
1439455106062,3013,Fixed CPI-Show,200,OK,text,false,3013
1439455109077,918,Fixed CPI-Hide,200,OK,text,true,918
1439455109997,612,Fixed CPI-Reward,200,OK,text,true,612
1439455110622,1168,Whole CPI-Show,200,OK,text,true,1168
1439455111792,980,Whole CPI-Hide,200,OK,text,true,980
1439455112774,506,Whole CPI-Reward,200,OK,text,true,506
1439455113282,603,Whole CPI-Show (US),200,OK,text,true,603
1439455113887,564,Whole CPI-Hide (US),200,OK,text,true,564
1439455114453,534,Whole CPI-Reward (US),200,OK,text,true,534
1439455114989,498,WholeCPI-Sweepstake (US),200,OK,text,true,498
1439455115489,1171,CPI After Reward Cost-Show,200,OK,text,true,1171
1439455116662,755,CPI After Reward Cost-Hide,200,OK,text,true,755
1439455117420,626,CPI After Reward Cost-Reward,200,OK,text,true,626
1439455118048,720,CPI After Reward Cost-Show (US),200,OK,text,true,720
1439455118769,1014,CPI After Reward Cost-Hide (US),200,OK,text,true,1014
1439455119785,570,CPI After Reward Cost-Reward (US),200,OK,text,true,570
1439455120357,609,CPI After Reward Cost-Sweepstake (US),200,OK,text,true,609
1439455120968,749,First CPI (Whole),200,OK,text,true,749
1439455121719,1227,Sweepstake-Hide,200,OK,text,true,1227
1439455122947,765,First CPI (CPI after reward cost),200,OK,text,true,765
1439455123714,1120,Sweepstake-Hide,200,OK,text,true,1120
1439455124837,579,Manual CPI- Fixed CPI Show,200,OK,text,true,579
1439455125418,468,Manual CPI- Whole CPI Show,200,OK,text,true,468
1439455125888,505,Manual CPI-CPI After Reward Cost-Show,200,OK,text,true,504
1439455126394,534,Publisher Virtual Currency,200,OK,text,true,534
1439455126930,2496,Disable Dashboard- Show,200,OK,text,true,2496
1439455129428,962,Disable Dashboard- Hide,200,OK,text,true,962
1439455130392,1264,Publisher Category- Show,200,OK,text,true,1264
1439455131658,929,Publisher Category- Hide,200,OK,text,true,929
1439455132589,1277,Site Virtual Currency,200,OK,text,true,1277
1439455133869,917,Private Panel - Show,200,OK,text,true,917
1439455134789,4630,Private Panel- Hide,200,OK,text,false,4630
1439455139421,1086,Incentive Grid 5-10 minutes,200,OK,text,true,1086
1439455140509,1016,Incentive grid 21-30 minutes,200,OK,text,true,1016
1439455141535,9245,Vindale Load member surveys,200,OK,text,true,9245
