timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Filename,Latency
1439455113282,603,Whole CPI-Show (US),200,OK,Thread Group 1-1,text,true,615,,603
1439455113887,564,Whole CPI-Hide (US),200,OK,Thread Group 1-1,text,true,615,,564
1439455114453,534,Whole CPI-Reward (US),200,OK,Thread Group 1-1,text,true,805,,534
1439455114989,498,WholeCPI-Sweepstake (US),200,OK,Thread Group 1-1,text,true,805,,498
1439455115489,1171,CPI After Reward Cost-Show,200,OK,Thread Group 1-1,text,true,625,,1171
1439455116662,755,CPI After Reward Cost-Hide,200,OK,Thread Group 1-1,text,true,625,,755
1439455117420,626,CPI After Reward Cost-Reward,200,OK,Thread Group 1-1,text,true,625,,626
1439455118048,720,CPI After Reward Cost-Show (US),200,OK,Thread Group 1-1,text,true,805,,720
1439455118769,1014,CPI After Reward Cost-Hide (US),200,OK,Thread Group 1-1,text,true,805,,1014
1439455119785,570,CPI After Reward Cost-Reward (US),200,OK,Thread Group 1-1,text,true,805,,570
1439455120357,609,CPI After Reward Cost-Sweepstake (US),200,OK,Thread Group 1-1,text,true,805,,609
1439455120968,749,First CPI (Whole),200,OK,Thread Group 1-1,text,true,627,,749
1439455121719,1227,Sweepstake-Hide,200,OK,Thread Group 1-1,text,true,4239,,1227
1439455122947,765,First CPI (CPI after reward cost),200,OK,Thread Group 1-1,text,true,626,,765
1439455123714,1120,Sweepstake-Hide,200,OK,Thread Group 1-1,text,true,3284,,1120
1439455124837,579,Manual CPI- Fixed CPI Show,200,OK,Thread Group 1-1,text,true,1442,,579
1439455125418,468,Manual CPI- Whole CPI Show,200,OK,Thread Group 1-1,text,true,830,,468
1439455125888,505,Manual CPI-CPI After Reward Cost-Show,200,OK,Thread Group 1-1,text,true,1440,,504
1439455126394,534,Publisher Virtual Currency,200,OK,Thread Group 1-1,text,true,1226,,534
1439455126930,2496,Disable Dashboard- Show,200,OK,Thread Group 1-1,text,true,1226,,2496
1439455129428,962,Disable Dashboard- Hide,200,OK,Thread Group 1-1,text,true,1226,,962
1439455130392,1264,Publisher Category- Show,200,OK,Thread Group 1-1,text,true,1226,,1264
1439455131658,929,Publisher Category- Hide,200,OK,Thread Group 1-1,text,true,1226,,929
1439455132589,1277,Site Virtual Currency,200,OK,Thread Group 1-1,text,true,1633,,1277
1439455133869,917,Private Panel - Show,200,OK,Thread Group 1-1,text,true,1633,,917
1439455134789,4630,Private Panel- Hide,200,OK,Thread Group 1-1,text,false,1633,,4630
1439455139421,1086,Incentive Grid 5-10 minutes,200,OK,Thread Group 1-1,text,true,1633,,1086
1439455140509,1016,Incentive grid 21-30 minutes,200,OK,Thread Group 1-1,text,true,1633,,1016
1439455141535,9245,Vindale Load member surveys,200,OK,Thread Group 1-1,text,true,411,,9245
